epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,720.396,0.58557,0.52257,0.01022,0.9226,0.89481,0.95819,0.89932,0.32643,0.25306,0.00829,0.000454112,0.000454112,0.000454112
25,747.763,0.58879,0.54277,0.0108,0.91695,0.92442,0.96546,0.88497,0.37894,0.23438,0.01006,0.000448291,0.000448291,0.000448291
26,775.954,0.5768,0.50364,0.01004,0.93337,0.92022,0.96666,0.90413,0.31546,0.21864,0.00793,0.00044247,0.00044247,0.00044247
27,804.081,0.55601,0.46888,0.01022,0.94126,0.90155,0.96528,0.89408,0.34478,0.23117,0.00861,0.000436649,0.000436649,0.000436649
28,832.829,0.56703,0.48182,0.01012,0.93148,0.93386,0.96628,0.90064,0.34969,0.21766,0.00907,0.000430828,0.000430828,0.000430828
29,861.338,0.56902,0.45412,0.01024,0.9446,0.91628,0.97237,0.90588,0.34224,0.198,0.00856,0.000425006,0.000425006,0.000425006
30,890.029,0.55887,0.45958,0.01024,0.93098,0.91873,0.97156,0.90515,0.3274,0.20985,0.00813,0.000419185,0.000419185,0.000419185
31,917.405,0.53542,0.46093,0.00983,0.92793,0.93012,0.96694,0.91508,0.29695,0.21536,0.00751,0.000413364,0.000413364,0.000413364
32,946.049,0.53075,0.45553,0.00959,0.92152,0.94257,0.96875,0.90382,0.32772,0.23061,0.00825,0.000407543,0.000407543,0.000407543
33,974.248,0.5577,0.46558,0.01012,0.95148,0.91419,0.97,0.91625,0.30566,0.18404,0.00766,0.000401722,0.000401722,0.000401722
34,1003.4,0.55218,0.43625,0.00986,0.94695,0.92931,0.97456,0.9194,0.30237,0.19383,0.00737,0.0003959,0.0003959,0.0003959
35,1032.68,0.5623,0.4357,0.01002,0.94802,0.93031,0.97363,0.92502,0.27774,0.1804,0.00666,0.000390079,0.000390079,0.000390079
36,1064.16,0.53398,0.42947,0.00945,0.93221,0.90793,0.96506,0.91113,0.30094,0.25186,0.00754,0.000384258,0.000384258,0.000384258
37,1092.58,0.55331,0.45222,0.01018,0.93889,0.92905,0.9672,0.91101,0.3304,0.20054,0.00865,0.000378437,0.000378437,0.000378437
38,1121.15,0.55254,0.40478,0.01004,0.94661,0.92386,0.97333,0.92277,0.28141,0.17802,0.00693,0.000372616,0.000372616,0.000372616
39,1149.59,0.52181,0.39685,0.00922,0.93229,0.94386,0.97518,0.92486,0.28222,0.17397,0.007,0.000366794,0.000366794,0.000366794
40,1177.85,0.50969,0.40714,0.00888,0.93968,0.93323,0.97271,0.914,0.29624,0.17584,0.00725,0.000360973,0.000360973,0.000360973
41,1205.07,0.52098,0.39141,0.00946,0.94919,0.94338,0.97226,0.92234,0.27509,0.17677,0.00672,0.000355152,0.000355152,0.000355152
